Size, Seq, Par, Libc
100, 0.000025, 0.012986, 0.000023
100, 0.000019, 0.014146, 0.000024
100, 0.000019, 0.012137, 0.000024
100, 0.000019, 0.011995, 0.000023
100, 0.000019, 0.010885, 0.000022
1000, 0.000237, 0.026058, 0.000266
1000, 0.000247, 0.026365, 0.000256
1000, 0.000337, 0.017737, 0.000260
1000, 0.000235, 0.027182, 0.000263
1000, 0.000235, 0.029047, 0.000263
10000, 0.003040, 0.042663, 0.003246
10000, 0.003240, 0.045992, 0.003258
10000, 0.003151, 0.064641, 0.003396
10000, 0.003033, 0.079602, 0.003436
10000, 0.003059, 0.048241, 0.003367
100000, 0.037694, 0.069203, 0.040969
100000, 0.037897, 0.086900, 0.043662
100000, 0.039309, 0.064192, 0.041235
100000, 0.038627, 0.054957, 0.040803
100000, 0.037952, 0.067217, 0.041708
1000000, 0.456816, 0.361368, 0.492590
1000000, 0.453568, 0.348564, 0.494097
1000000, 0.440946, 0.347402, 0.510579
1000000, 0.456338, 0.362257, 0.502376
1000000, 0.449029, 0.341240, 0.519749
