Size, Type, Time
100, "Sequential", 0.000025
100, "Parallel", 0.012986
100, "Built-in", 0.000023
100, "Sequential", 0.000019
100, "Parallel", 0.014146
100, "Built-in", 0.000024
100, "Sequential", 0.000019
100, "Parallel", 0.012137
100, "Built-in", 0.000024
100, "Sequential", 0.000019
100, "Parallel", 0.011995
100, "Built-in", 0.000023
100, "Sequential", 0.000019
100, "Parallel", 0.010885
100, "Built-in", 0.000022
1000, "Sequential", 0.000237
1000, "Parallel", 0.026058
1000, "Built-in", 0.000266
1000, "Sequential", 0.000247
1000, "Parallel", 0.026365
1000, "Built-in", 0.000256
1000, "Sequential", 0.000337
1000, "Parallel", 0.017737
1000, "Built-in", 0.000260
1000, "Sequential", 0.000235
1000, "Parallel", 0.027182
1000, "Built-in", 0.000263
1000, "Sequential", 0.000235
1000, "Parallel", 0.029047
1000, "Built-in", 0.000263
10000, "Sequential", 0.003040
10000, "Parallel", 0.042663
10000, "Built-in", 0.003246
10000, "Sequential", 0.003240
10000, "Parallel", 0.045992
10000, "Built-in", 0.003258
10000, "Sequential", 0.003151
10000, "Parallel", 0.064641
10000, "Built-in", 0.003396
10000, "Sequential", 0.003033
10000, "Parallel", 0.079602
10000, "Built-in", 0.003436
10000, "Sequential", 0.003059
10000, "Parallel", 0.048241
10000, "Built-in", 0.003367
100000, "Sequential", 0.037694
100000, "Parallel", 0.069203
100000, "Built-in", 0.040969
100000, "Sequential", 0.037897
100000, "Parallel", 0.086900
100000, "Built-in", 0.043662
100000, "Sequential", 0.039309
100000, "Parallel", 0.064192
100000, "Built-in", 0.041235
100000, "Sequential", 0.038627
100000, "Parallel", 0.054957
100000, "Built-in", 0.040803
100000, "Sequential", 0.037952
100000, "Parallel", 0.067217
100000, "Built-in", 0.041708
1000000, "Sequential", 0.456816
1000000, "Parallel", 0.361368
1000000, "Built-in", 0.492590
1000000, "Sequential", 0.453568
1000000, "Parallel", 0.348564
1000000, "Built-in", 0.494097
1000000, "Sequential", 0.440946
1000000, "Parallel", 0.347402
1000000, "Built-in", 0.510579
1000000, "Sequential", 0.456338
1000000, "Parallel", 0.362257
1000000, "Built-in", 0.502376
1000000, "Sequential", 0.449029
1000000, "Parallel", 0.341240
1000000, "Built-in", 0.519749
