Size, Type, Time
100, "Sequential", 0.000018
100, "Parallel", 0.009395
100, "Built-in", 0.000029
100, "Sequential", 0.000022
100, "Parallel", 0.013031
100, "Built-in", 0.000022
100, "Sequential", 0.000019
100, "Parallel", 0.006193
100, "Built-in", 0.000022
100, "Sequential", 0.000022
100, "Parallel", 0.010777
100, "Built-in", 0.000022
100, "Sequential", 0.000018
100, "Parallel", 0.006838
100, "Built-in", 0.000022
1000, "Sequential", 0.000252
1000, "Parallel", 0.018384
1000, "Built-in", 0.000311
1000, "Sequential", 0.000256
1000, "Parallel", 0.023171
1000, "Built-in", 0.000268
1000, "Sequential", 0.000251
1000, "Parallel", 0.014636
1000, "Built-in", 0.000264
1000, "Sequential", 0.000250
1000, "Parallel", 0.017403
1000, "Built-in", 0.000261
1000, "Sequential", 0.000254
1000, "Parallel", 0.017923
1000, "Built-in", 0.000258
10000, "Sequential", 0.003166
10000, "Parallel", 0.038991
10000, "Built-in", 0.003782
10000, "Sequential", 0.003167
10000, "Parallel", 0.034122
10000, "Built-in", 0.003330
10000, "Sequential", 0.003166
10000, "Parallel", 0.057228
10000, "Built-in", 0.003249
10000, "Sequential", 0.003316
10000, "Parallel", 0.038858
10000, "Built-in", 0.003341
10000, "Sequential", 0.003170
10000, "Parallel", 0.037531
10000, "Built-in", 0.003266
100000, "Sequential", 0.046915
100000, "Parallel", 0.059732
100000, "Built-in", 0.041716
100000, "Sequential", 0.041675
100000, "Parallel", 0.072117
100000, "Built-in", 0.040869
100000, "Sequential", 0.040714
100000, "Parallel", 0.084170
100000, "Built-in", 0.025795
100000, "Sequential", 0.023718
100000, "Parallel", 0.045704
100000, "Built-in", 0.025963
100000, "Sequential", 0.023442
100000, "Parallel", 0.047821
100000, "Built-in", 0.030172
1000000, "Sequential", 0.271776
1000000, "Parallel", 0.273040
1000000, "Built-in", 0.245603
1000000, "Sequential", 0.232713
1000000, "Parallel", 0.275927
1000000, "Built-in", 0.235661
1000000, "Sequential", 0.225763
1000000, "Parallel", 0.286042
1000000, "Built-in", 0.241038
1000000, "Sequential", 0.273327
1000000, "Parallel", 0.288311
1000000, "Built-in", 0.313108
1000000, "Sequential", 0.353103
1000000, "Parallel", 0.300241
1000000, "Built-in", 0.276047
