Size,Type,Time
712551,Parallel,0.265926
95088,Parallel,0.106763
430781,Sequential,0.099895
500441,Parallel,0.148920
723611,Parallel,0.218581
693213,Parallel,0.194642
937829,Parallel,0.275422
991599,Built-in,0.283500
500441,Sequential,0.120348
813284,Sequential,0.192349
478853,Sequential,0.105703
705015,Sequential,0.192557
169946,Sequential,0.045878
632157,Built-in,0.170165
802915,Built-in,0.246210
145480,Built-in,0.057255
177833,Sequential,0.038866
902715,Sequential,0.224638
43834,Parallel,0.043385
117563,Parallel,0.050030
859621,Sequential,0.198689
946636,Sequential,0.209724
468381,Sequential,0.118073
33315,Sequential,0.006539
733191,Built-in,0.188097
73146,Sequential,0.014716
683534,Built-in,0.174977
101463,Parallel,0.050428
723611,Built-in,0.202605
457394,Built-in,0.118391
177833,Parallel,0.059382
885773,Built-in,0.245192
396346,Built-in,0.093586
427538,Parallel,0.133669
371716,Parallel,0.128047
43834,Sequential,0.007981
73146,Built-in,0.014785
833839,Built-in,0.217891
876829,Built-in,0.201372
512669,Parallel,0.140149
152995,Parallel,0.054732
306029,Parallel,0.090888
989248,Built-in,0.231452
427538,Built-in,0.090591
186039,Sequential,0.037509
885773,Sequential,0.187582
970988,Built-in,0.220050
924461,Built-in,0.209857
491520,Built-in,0.111450
705015,Parallel,0.201531
902715,Built-in,0.243801
57955,Built-in,0.010845
312722,Built-in,0.069795
967540,Built-in,0.242647
484994,Built-in,0.107033
989248,Parallel,0.283361
550375,Parallel,0.163021
733191,Sequential,0.181002
561942,Built-in,0.126779
457394,Parallel,0.130264
484994,Parallel,0.140478
208154,Built-in,0.042083
924461,Parallel,0.255648
328997,Parallel,0.111030
396346,Parallel,0.134414
885773,Parallel,0.270744
208154,Parallel,0.067029
937829,Built-in,0.247873
478853,Parallel,0.136096
478853,Built-in,0.105287
561942,Parallel,0.162100
338245,Sequential,0.068123
539638,Sequential,0.107240
101463,Sequential,0.019613
85073,Parallel,0.040665
813284,Parallel,0.232417
520039,Parallel,0.143942
443645,Built-in,0.101291
946636,Built-in,0.217441
859621,Built-in,0.195454
386723,Parallel,0.116331
604734,Sequential,0.141648
653117,Built-in,0.163885
254874,Sequential,0.059205
95088,Built-in,0.022801
653117,Sequential,0.139453
491520,Sequential,0.103013
443645,Parallel,0.134992
623686,Parallel,0.211718
234566,Parallel,0.080615
491520,Parallel,0.156408
712551,Sequential,0.175176
952322,Sequential,0.202508
62712,Built-in,0.011455
186039,Built-in,0.037390
589559,Parallel,0.168137
589559,Built-in,0.148726
520039,Sequential,0.109717
676884,Sequential,0.141567
263210,Parallel,0.080991
418075,Parallel,0.133556
12382,Parallel,0.041887
241825,Sequential,0.054073
668441,Built-in,0.177635
152995,Built-in,0.037658
579311,Sequential,0.141869
386723,Built-in,0.094231
131059,Sequential,0.029246
952322,Built-in,0.219727
306029,Sequential,0.058041
62712,Parallel,0.031216
12382,Sequential,0.002434
917312,Built-in,0.214297
970988,Sequential,0.208442
604734,Parallel,0.170127
579311,Built-in,0.138182
223338,Built-in,0.046747
693213,Built-in,0.160607
623686,Built-in,0.162930
124025,Sequential,0.029723
145480,Sequential,0.038981
186039,Parallel,0.078931
648621,Built-in,0.194413
290091,Parallel,0.102211
546513,Parallel,0.182805
780444,Built-in,0.211714
43834,Built-in,0.010035
484994,Sequential,0.117108
712551,Built-in,0.181758
408832,Parallel,0.129309
648621,Sequential,0.154262
290091,Built-in,0.073068
589,Built-in,0.000081
366408,Built-in,0.086618
338245,Built-in,0.075116
223338,Sequential,0.044428
457394,Sequential,0.097029
427538,Sequential,0.089392
145480,Parallel,0.058523
33315,Built-in,0.006625
396346,Sequential,0.081442
802915,Sequential,0.171084
20691,Built-in,0.003639
85073,Sequential,0.015121
924461,Sequential,0.262117
546513,Built-in,0.131929
828457,Sequential,0.179427
371716,Built-in,0.093840
95088,Sequential,0.020393
859621,Parallel,0.222853
970988,Parallel,0.275741
579311,Parallel,0.177180
828457,Built-in,0.337116
989248,Sequential,0.266346
85073,Built-in,0.019878
676884,Parallel,0.217188
813284,Built-in,0.234899
275367,Parallel,0.087819
733191,Parallel,0.254748
468381,Parallel,0.138334
328997,Built-in,0.074458
418075,Built-in,0.088354
288140,Built-in,0.062787
937829,Sequential,0.220396
197433,Sequential,0.039507
876829,Sequential,0.188991
117563,Sequential,0.025108
828457,Parallel,0.228286
169946,Built-in,0.043193
868601,Built-in,0.228687
610082,Parallel,0.170992
546513,Sequential,0.116365
366408,Sequential,0.085252
604734,Built-in,0.149765
500441,Built-in,0.106938
306029,Built-in,0.066398
794978,Parallel,0.221901
288140,Sequential,0.055418
290091,Sequential,0.059045
610082,Built-in,0.140526
598653,Built-in,0.131111
124025,Built-in,0.023931
348991,Built-in,0.080469
288140,Parallel,0.086978
776707,Parallel,0.219264
366408,Parallel,0.108734
312722,Sequential,0.062004
354183,Built-in,0.079696
312722,Parallel,0.098065
723611,Sequential,0.159022
843610,Built-in,0.246538
868601,Parallel,0.246667
20691,Sequential,0.003644
169946,Parallel,0.057204
12382,Built-in,0.002066
589559,Sequential,0.132014
62712,Sequential,0.012882
991599,Sequential,0.265577
776707,Built-in,0.208262
967540,Parallel,0.262214
833839,Sequential,0.214728
705015,Built-in,0.186920
952322,Parallel,0.298079
234566,Sequential,0.070227
550375,Sequential,0.128993
794978,Built-in,0.187078
348991,Parallel,0.098878
354183,Parallel,0.105038
254874,Parallel,0.083296
833839,Parallel,0.220306
991599,Parallel,0.287679
876829,Parallel,0.248477
780444,Parallel,0.231993
418075,Sequential,0.141037
117563,Built-in,0.040122
215356,Sequential,0.067264
223338,Parallel,0.082147
917312,Parallel,0.289103
241825,Built-in,0.067728
371716,Sequential,0.111984
780444,Sequential,0.171513
443645,Sequential,0.094234
550375,Built-in,0.130851
598653,Parallel,0.172812
946636,Parallel,0.254737
263210,Built-in,0.060594
177833,Built-in,0.038713
275367,Sequential,0.056566
683534,Parallel,0.203580
794978,Sequential,0.241119
152995,Sequential,0.031253
348991,Sequential,0.080353
408832,Sequential,0.121014
898868,Sequential,0.290882
215356,Built-in,0.062007
512669,Sequential,0.116999
668441,Parallel,0.201475
512669,Built-in,0.119320
263210,Sequential,0.053911
33315,Parallel,0.035840
124025,Parallel,0.051708
843610,Parallel,0.235143
756081,Built-in,0.182221
967540,Sequential,0.222174
776707,Sequential,0.177473
917312,Sequential,0.205184
539638,Parallel,0.155604
802915,Parallel,0.218533
843610,Sequential,0.196065
197433,Parallel,0.065677
653117,Parallel,0.182830
598653,Sequential,0.130654
898868,Built-in,0.258973
57955,Parallel,0.033781
430781,Built-in,0.121120
902715,Parallel,0.265317
632157,Sequential,0.169803
693213,Sequential,0.160846
215356,Parallel,0.068873
561942,Sequential,0.129478
589,Parallel,0.010616
648621,Parallel,0.189410
623686,Sequential,0.163104
868601,Sequential,0.241144
241825,Parallel,0.082216
740075,Sequential,0.181063
668441,Sequential,0.191491
740075,Parallel,0.218705
20691,Parallel,0.026456
328997,Sequential,0.072031
676884,Built-in,0.203093
468381,Built-in,0.116117
764505,Built-in,0.179770
208154,Sequential,0.039126
275367,Built-in,0.063215
101463,Built-in,0.019846
430781,Parallel,0.128987
610082,Sequential,0.127969
632157,Parallel,0.167333
354183,Sequential,0.073503
73146,Parallel,0.036953
764505,Parallel,0.218208
131059,Built-in,0.026039
254874,Built-in,0.057000
234566,Built-in,0.047641
338245,Parallel,0.107434
764505,Sequential,0.180529
898868,Parallel,0.235453
589,Sequential,0.000064
539638,Built-in,0.127814
197433,Built-in,0.039373
408832,Built-in,0.091002
683534,Sequential,0.151149
131059,Parallel,0.052645
756081,Parallel,0.227723
386723,Sequential,0.083727
520039,Built-in,0.121512
57955,Sequential,0.010013
740075,Built-in,0.174744
756081,Sequential,0.160585
