"Size","Type"
712551,1
95088,1
430781,0
500441,1
723611,1
693213,1
937829,1
991599,2
500441,0
813284,0
478853,0
705015,0
169946,0
632157,2
802915,2
145480,2
177833,0
902715,0
43834,1
117563,1
859621,0
946636,0
468381,0
33315,0
733191,2
73146,0
683534,2
101463,1
723611,2
457394,2
177833,1
885773,2
396346,2
427538,1
371716,1
43834,0
73146,2
833839,2
876829,2
512669,1
152995,1
306029,1
989248,2
427538,2
186039,0
885773,0
970988,2
924461,2
491520,2
705015,1
902715,2
57955,2
312722,2
967540,2
484994,2
989248,1
550375,1
733191,0
561942,2
457394,1
484994,1
208154,2
924461,1
328997,1
396346,1
885773,1
208154,1
937829,2
478853,1
478853,2
561942,1
338245,0
539638,0
101463,0
85073,1
813284,1
520039,1
443645,2
946636,2
859621,2
386723,1
604734,0
653117,2
254874,0
95088,2
653117,0
491520,0
443645,1
623686,1
234566,1
491520,1
712551,0
952322,0
62712,2
186039,2
589559,1
589559,2
520039,0
676884,0
263210,1
418075,1
12382,1
241825,0
668441,2
152995,2
579311,0
386723,2
131059,0
952322,2
306029,0
62712,1
12382,0
917312,2
970988,0
604734,1
579311,2
223338,2
693213,2
623686,2
124025,0
145480,0
186039,1
648621,2
290091,1
546513,1
780444,2
43834,2
484994,0
712551,2
408832,1
648621,0
290091,2
589,2
366408,2
338245,2
223338,0
457394,0
427538,0
145480,1
33315,2
396346,0
802915,0
20691,2
85073,0
924461,0
546513,2
828457,0
371716,2
95088,0
859621,1
970988,1
579311,1
828457,2
989248,0
85073,2
676884,1
813284,2
275367,1
733191,1
468381,1
328997,2
418075,2
288140,2
937829,0
197433,0
876829,0
117563,0
828457,1
169946,2
868601,2
610082,1
546513,0
366408,0
604734,2
500441,2
306029,2
794978,1
288140,0
290091,0
610082,2
598653,2
124025,2
348991,2
288140,1
776707,1
366408,1
312722,0
354183,2
312722,1
723611,0
843610,2
868601,1
20691,0
169946,1
12382,2
589559,0
62712,0
991599,0
776707,2
967540,1
833839,0
705015,2
952322,1
234566,0
550375,0
794978,2
348991,1
354183,1
254874,1
833839,1
991599,1
876829,1
780444,1
418075,0
117563,2
215356,0
223338,1
917312,1
241825,2
371716,0
780444,0
443645,0
550375,2
598653,1
946636,1
263210,2
177833,2
275367,0
683534,1
794978,0
152995,0
348991,0
408832,0
898868,0
215356,2
512669,0
668441,1
512669,2
263210,0
33315,1
124025,1
843610,1
756081,2
967540,0
776707,0
917312,0
539638,1
802915,1
843610,0
197433,1
653117,1
598653,0
898868,2
57955,1
430781,2
902715,1
632157,0
693213,0
215356,1
561942,0
589,1
648621,1
623686,0
868601,0
241825,1
740075,0
668441,0
740075,1
20691,1
328997,0
676884,2
468381,2
764505,2
208154,0
275367,2
101463,2
430781,1
610082,0
632157,1
354183,0
73146,1
764505,1
131059,2
254874,2
234566,2
338245,1
764505,0
898868,1
589,0
539638,2
197433,2
408832,2
683534,0
131059,1
756081,1
386723,0
520039,2
57955,0
740075,2
756081,0
