Size, Type, Time
100, "Sequential", 0.000016
100, "Parallel", 0.026681
100, "Built-in", 0.000036
100, "Sequential", 0.000014
100, "Parallel", 0.026089
100, "Built-in", 0.000019
100, "Sequential", 0.000024
100, "Parallel", 0.026447
100, "Built-in", 0.000020
100, "Sequential", 0.000014
100, "Parallel", 0.031489
100, "Built-in", 0.000038
100, "Sequential", 0.000014
100, "Parallel", 0.025525
100, "Built-in", 0.000019
1000, "Sequential", 0.000196
1000, "Parallel", 0.113639
1000, "Built-in", 0.000209
1000, "Sequential", 0.000168
1000, "Parallel", 0.101895
1000, "Built-in", 0.000430
1000, "Sequential", 0.000172
1000, "Parallel", 0.124999
1000, "Built-in", 0.000431
1000, "Sequential", 0.000182
1000, "Parallel", 0.109642
1000, "Built-in", 0.000429
1000, "Sequential", 0.000389
1000, "Parallel", 0.104490
1000, "Built-in", 0.000202
10000, "Sequential", 0.005131
10000, "Parallel", 0.095579
10000, "Built-in", 0.005191
10000, "Sequential", 0.002613
10000, "Parallel", 0.106618
10000, "Built-in", 0.002972
10000, "Sequential", 0.004589
10000, "Parallel", 0.082309
10000, "Built-in", 0.002320
10000, "Sequential", 0.004563
10000, "Parallel", 0.114763
10000, "Built-in", 0.005030
10000, "Sequential", 0.002150
10000, "Parallel", 0.101837
10000, "Built-in", 0.002509
100000, "Sequential", 0.028118
100000, "Parallel", 0.201830
100000, "Built-in", 0.030818
100000, "Sequential", 0.027095
100000, "Parallel", 0.189495
100000, "Built-in", 0.028666
100000, "Sequential", 0.027026
100000, "Parallel", 0.213626
100000, "Built-in", 0.030640
100000, "Sequential", 0.027118
100000, "Parallel", 0.184541
100000, "Built-in", 0.028448
100000, "Sequential", 0.027300
100000, "Parallel", 0.161683
100000, "Built-in", 0.030826
1000000, "Sequential", 0.276102
1000000, "Parallel", 0.524008
1000000, "Built-in", 0.275381
1000000, "Sequential", 0.260153
1000000, "Parallel", 0.504734
1000000, "Built-in", 0.268984
1000000, "Sequential", 0.256958
1000000, "Parallel", 0.466574
1000000, "Built-in", 0.280275
1000000, "Sequential", 0.257147
1000000, "Parallel", 0.515895
1000000, "Built-in", 0.269058
1000000, "Sequential", 0.251293
1000000, "Parallel", 0.512825
1000000, "Built-in", 0.269332
