Size,Type,Time
712551,Parallel,0.314167
95088,Parallel,0.237531
430781,Sequential,0.099208
500441,Parallel,0.374840
723611,Parallel,0.386787
693213,Parallel,0.426089
937829,Parallel,0.487693
991599,Built-in,0.264691
500441,Sequential,0.115711
813284,Sequential,0.192837
478853,Sequential,0.111116
705015,Sequential,0.170740
169946,Sequential,0.038077
632157,Built-in,0.165162
802915,Built-in,0.212945
145480,Built-in,0.033618
177833,Sequential,0.038786
902715,Sequential,0.218144
43834,Parallel,0.287711
117563,Parallel,0.329449
859621,Sequential,0.210134
946636,Sequential,0.238895
468381,Sequential,0.110860
33315,Sequential,0.013536
733191,Built-in,0.196924
73146,Sequential,0.014738
683534,Built-in,0.191262
101463,Parallel,0.217709
723611,Built-in,0.191113
457394,Built-in,0.117230
177833,Parallel,0.225663
885773,Built-in,0.247350
396346,Built-in,0.101754
427538,Parallel,0.361591
371716,Parallel,0.311781
43834,Sequential,0.010259
73146,Built-in,0.019991
833839,Built-in,0.217540
876829,Built-in,0.232775
512669,Parallel,0.358532
152995,Parallel,0.269450
306029,Parallel,0.305988
989248,Built-in,0.267181
427538,Built-in,0.110467
186039,Sequential,0.044827
885773,Sequential,0.220438
970988,Built-in,0.259164
924461,Built-in,0.246274
491520,Built-in,0.126246
705015,Parallel,0.326767
902715,Built-in,0.238693
57955,Built-in,0.019529
312722,Built-in,0.078139
967540,Built-in,0.258883
484994,Built-in,0.123481
989248,Parallel,0.458054
550375,Parallel,0.323572
733191,Sequential,0.177336
561942,Built-in,0.146087
457394,Parallel,0.371242
484994,Parallel,0.326670
208154,Built-in,0.050916
924461,Parallel,0.457806
328997,Parallel,0.252655
396346,Parallel,0.289352
885773,Parallel,0.421572
208154,Parallel,0.323958
937829,Built-in,0.249548
478853,Parallel,0.329202
478853,Built-in,0.121782
561942,Parallel,0.347675
338245,Sequential,0.076483
539638,Sequential,0.126551
101463,Sequential,0.021059
85073,Parallel,0.255573
813284,Parallel,0.432620
520039,Parallel,0.337880
443645,Built-in,0.113515
946636,Built-in,0.253470
859621,Built-in,0.228530
386723,Parallel,0.313925
604734,Sequential,0.142924
653117,Built-in,0.171029
254874,Sequential,0.059410
95088,Built-in,0.025351
653117,Sequential,0.156945
491520,Sequential,0.114749
443645,Parallel,0.267558
623686,Parallel,0.380173
234566,Parallel,0.235432
491520,Parallel,0.314804
712551,Sequential,0.172444
952322,Sequential,0.235657
62712,Built-in,0.013459
186039,Built-in,0.046653
589559,Parallel,0.346639
589559,Built-in,0.151688
520039,Sequential,0.122185
676884,Sequential,0.160329
263210,Parallel,0.346677
418075,Parallel,0.325478
